Unnamed: 0;P_HOUSEHOLD;P_HEATPUMP
2020-01-03 02:45:00;4629,770000033909;25855,54635237588
2020-01-03 03:00:00;4735,6164451175255;31689,248024813325
2020-01-03 03:15:00;4172,532223553129;26128,4612295045
2020-01-03 03:30:00;4319,849216291638;29691,00469699438
2020-01-03 03:45:00;4275,358336978487;24213,383548842536
2020-01-03 04:00:00;4238,492225307887;36457,52172764671
2020-01-03 04:15:00;4534,398446358569;33522,34868725672
2020-01-03 04:30:00;4958,938886133836;30829,46986995274
2020-01-03 04:45:00;5380,841442404854;28425,15565684634
2020-01-03 05:00:00;5470,729335996837;22708,454093392724
2020-01-03 05:15:00;6993,3972134484175;28690,101557985938
2020-01-03 05:30:00;7157,632998233376;23458,32993362216
2020-01-03 05:45:00;6674,69199896918;27233,639120144304
2020-01-03 06:00:00;6769,120277065699;33012,266696675586
2020-01-03 06:15:00;8067,669336954746;20923,493905417108
2020-01-03 06:30:00;5688,630894088749;46746,78763407603
2020-01-03 06:45:00;5074,955664528745;28664,10338584053
2020-01-03 07:00:00;5451,689228736037;27126,29292422536
2020-01-03 07:15:00;5224,72977587382;30488,14532457988
2020-01-03 07:30:00;5896,665446429788;22637,57591192457
2020-01-03 07:45:00;4997,96932720608;31742,134880256697
2020-01-03 08:00:00;5569,937002648246;21814,658878294624
2020-01-03 08:15:00;6908,2765568627365;22445,90233465832
2020-01-03 08:30:00;10007,710433197028;32079,24802637095
2020-01-03 08:45:00;8871,365986633296;36584,1965625657
2020-01-03 09:00:00;7880,194004694622;36447,10078929262
2020-01-03 09:15:00;8590,420771789546;51568,71087630595
2020-01-03 09:30:00;12151,33612276714;32216,551457789188
2020-01-03 09:45:00;11864,161890580912;31844,54729669358
2020-01-03 10:00:00;8458,914448674517;35255,0242688285
2020-01-03 10:15:00;8482,322334247163;28495,99137912325
2020-01-03 10:30:00;9515,548679478956;39501,96769828798
2020-01-03 10:45:00;11393,016331354778;35780,78333405388
2020-01-03 11:00:00;14413,289885160664;25842,091343498207
2020-01-03 11:15:00;14374,611081992256;34016,81772812734
2020-01-03 11:30:00;14885,777102237276;32664,78243150708
2020-01-03 11:45:00;11711,220779207018;41526,53390929965
2020-01-03 12:00:00;13137,06510658264;47861,985377051446
2020-01-03 12:15:00;14918,211303159933;21933,801887724137
2020-01-03 12:30:00;18308,234853744525;27157,5208331532
2020-01-03 12:45:00;12249,25164794922;40789,70206588108
2020-01-03 13:00:00;10922,406189206722;27699,624702882804
2020-01-03 13:15:00;10741,290195468582;27925,539102613744
2020-01-03 13:30:00;10654,60662393556;36181,49338197525
2020-01-03 13:45:00;8340,888967573845;33676,38583912371
2020-01-03 14:00:00;8418,064680504416;43248,86609437644
2020-01-03 14:15:00;9507,262435743542;25341,7269724422
2020-01-03 14:30:00;9891,58221906026;35845,31156721116
2020-01-03 14:45:00;8847,888900460139;29514,56403208839
2020-01-03 15:00:00;8064,422776455346;19676,90143088233
2020-01-03 15:15:00;12298,174113549125;28268,630218685976
2020-01-03 15:30:00;11649,768337843156;32071,59097389645
2020-01-03 15:45:00;11085,68967403836;19888,13000533844
2020-01-03 16:00:00;12877,935247294105;45338,98131355712
2020-01-03 16:15:00;12832,051222991946;23229,35058422089
2020-01-03 16:30:00;11027,471000332309;35954,04099056453
2020-01-03 16:45:00;10792,74734369914;24197,91380041973
2020-01-03 17:00:00;13432,616334194605;24392,99746349123
2020-01-03 17:15:00;12552,532645161948;38877,49657895828
2020-01-03 17:30:00;16248,28020816379;17807,553234969237
2020-01-03 17:45:00;14307,7508895874;17430,77555885315
2020-01-03 18:00:00;12242,478108978272;27122,770628261576
2020-01-03 18:15:00;10411,149199591742;20445,807821983806
2020-01-03 18:30:00;10492,402448611792;35790,07579172982
2020-01-03 18:45:00;11146,224335394963;19859,926123640264
2020-01-03 19:00:00;12036,187560696078;33262,652597936
2020-01-03 19:15:00;10344,843891991508;20773,38467309741
2020-01-03 19:30:00;12406,575348239474;23895,34734344482
2020-01-03 19:45:00;12757,087674967455;29661,585495747426
