;P_HOUSEHOLD;Q_HOUSEHOLD;P_HEATPUMP;Q_HEATPUMP;P_PV;Q_PV
2020-01-01 19:45:00;12830,275999196376;-1288,1675550327325;35773,23776253592;19261,8168985976;0,0;0,0
2020-01-01 20:00:00;10158,74121186998;-1216,9000033896;33556,851009811966;16813,30341264574;0,0;0,0
2020-01-01 20:15:00;13491,159215460892;-960,34088821763;47882,72066913172;22934,442983200803;0,0;0,0
2020-01-01 20:30:00;11703,221094173849;-646,1663356536599;40194,22166790432;20492,8903540929;0,0;0,0
2020-01-01 20:45:00;10255,639114379885;-1303,9757766324817;39376,0395685302;16014,983224219732;0,0;0,0
2020-01-01 21:00:00;9721,786895073788;-880,7645538688516;35322,19215003122;19281,678255603045;0,0;0,0
2020-01-01 21:15:00;10131,192005284633;-1134,5245568127075;35163,92194246715;19368,51870187388;0,0;0,0
2020-01-01 21:30:00;9439,535551537412;-948,4776680008416;34881,8817593998;14897,510202921752;0,0;0,0
2020-01-01 21:45:00;9090,994553629556;-1123,607334059043;34611,437285974294;16395,755708519624;0,0;0,0
2020-01-01 22:00:00;9283,35533794827;-976,003556699287;29352,55164900885;13671,886427807263;0,0;0,0
2020-01-01 22:15:00;9221,137207963728;-977,782226339914;49038,42703173956;20936,596241121813;0,0;0,0
2020-01-01 22:30:00;10957,830308151246;-1211,5636654441746;27942,528366099465;10794,177098168268;0,0;0,0
2020-01-01 22:45:00;8204,76922064887;-1021,7141126149226;28344,240415996985;13688,516886091222;0,0;0,0
2020-01-01 23:00:00;8869,7016043769;-1369,8932211259996;37747,5251408789;20620,19421603413;0,0;0,0
2020-01-01 23:15:00;7122,328000259402;-1435,7987804498096;31666,33977191716;13524,976418262064;0,0;0,0
2020-01-01 23:30:00;8262,683104281963;-1410,269667008726;38917,73889711168;17251,80675436655;0,0;0,0
2020-01-01 23:45:00;7021,857663472498;-1013,4256667282854;22215,70408652624;11401,952643015977;0,0;0,0
2020-01-02 00:00:00;6632,039333004421;-882,0844399803219;33877,25281121994;14447,894788191064;0,0;0,0
2020-01-02 00:15:00;6109,317443339029;-1145,30933282872;29860,28075634643;8798,245987900107;0,0;0,0
2020-01-02 00:30:00;5941,186332405937;-982,195888063643;37655,02045719358;19567,34610194101;0,0;0,0
2020-01-02 00:45:00;5399,549668206107;-1492,96799900267;23985,08009342618;14913,206677787826;0,0;0,0
2020-01-02 01:00:00;5450,002666982017;-1168,469333877498;32951,07786259122;14281,85066329108;0,0;0,0
2020-01-02 01:15:00;5041,92877430386;-1227,1611095080775;29069,73688509199;13915,490089543666;0,0;0,0
2020-01-02 01:30:00;5016,36633690728;-1168,6561100677898;44191,94461931648;16340,789790839612;0,0;0,0
2020-01-02 01:45:00;5164,546229086981;-1084,2522219869832;35331,072204144795;17571,217915387773;0,0;0,0
2020-01-02 02:00:00;4893,290776613025;-1284,8022230731135;25725,73456036251;11742,029885090724;0,0;0,0
2020-01-02 02:15:00;4959,575109227497;-1173,6838916583206;28724,05843379763;12101,705586730115;0,0;0,0
2020-01-02 02:30:00;4804,329227617052;-887,908112826861;38939,0341725349;15072,309753709367;0,0;0,0
2020-01-02 02:45:00;4785,215114720661;-696,4756674448646;33930,45225886238;17671,677891121974;0,0;0,0
2020-01-02 03:00:00;4345,706997468735;-934,7238867971632;32252,89665448929;15326,838089254814;0,0;0,0
2020-01-02 03:15:00;4619,642332119409;-736,1417774341181;25206,244759803343;15044,324899615176;0,0;0,0
2020-01-02 03:30:00;4422,062555440269;-928,2225566069286;41356,16666745079;13565,004791073005;0,0;0,0
2020-01-02 03:45:00;4278,009889899359;-1097,022219272867;34990,55945913527;19488,430978062424;0,0;0,0
2020-01-02 04:00:00;4345,842665651106;-1017,715332527294;31763,612252553303;16015,30666699144;0,0;0,0
2020-01-02 04:15:00;4151,562327490913;-1041,4988883946487;35552,1078821288;17743,779536427384;0,0;0,0
2020-01-02 04:30:00;5201,404342227514;-1070,5726671557445;46213,565947733936;16415,370880021004;0,0;0,0
2020-01-02 04:45:00;5380,268225140041;-1019,6356676150735;37248,02398800322;12505,117783392798;0,0;0,0
2020-01-02 05:00:00;5605,483889134727;-918,2572223152542;27006,60878118937;12764,807429024822;0,0;0,0
2020-01-02 05:15:00;7388,20722694397;-966,6871107472314;34580,958344342966;17136,339249674496;0,0;0,0
2020-01-02 05:30:00;6945,972884114582;-1080,3724453508828;47493,48062336179;16919,857766352765;0,0;0,0
2020-01-02 05:45:00;5717,7913339826855;-1073,9359993849985;43206,81276018359;14438,40477133858;0,0;0,0
2020-01-02 06:00:00;6825,482104534576;-845,1201138101512;40292,66819897756;21158,22491812175;0,0;0,0
2020-01-02 06:15:00;7185,217326524527;-507,1851117130784;34560,41709729299;16217,750562113031;0,0;0,0
2020-01-02 06:30:00;7680,785104751593;-790,6516668778745;40291,950381660456;14053,046759404077;0,0;0,0
2020-01-02 06:45:00;5198,987886301676;-935,3328882472406;38521,56523383856;17116,209483427458;0,0;0,0
2020-01-02 07:00:00;6111,305995347764;-1132,2451119491227;38222,32658224901;19325,69936608076;0,0;0,0
2020-01-02 07:15:00;5926,401339721678;-902,345889491174;30665,92557760874;13223,161101349204;0,0;0,0
2020-01-02 07:30:00;7205,511442862616;-1120,1016679902252;50288,29928283694;17865,26222611004;0,0;0,0
2020-01-02 07:45:00;5425,227113638984;-872,0282211201263;42830,37787386578;14547,39318887924;0,0;0,0
2020-01-02 08:00:00;5407,034331639608;-950,6345532300154;33363,89035339353;17588,15041180715;0,0;0,0
2020-01-02 08:15:00;5894,3896695878775;-1217,237999976074;49799,27739080983;21315,11155552865;50,5;0,1
2020-01-02 08:30:00;5606,314551798499;-1266,2353335764683;46931,05482972464;21911,50667268434;372,0888888888889;0,6666666666666667
2020-01-02 08:45:00;4729,438334740534;-1501,2803342925183;39229,68219324885;20336,63990741304;1130,3;1,1666666666666663
2020-01-02 09:00:00;8209,878890016345;-917,9222234010692;43008,10215072101;23318,85571013373;2265,2;1,5
2020-01-02 09:15:00;7254,200567287865;-905,0090025107075;43754,41824305849;20814,400461548557;3580,422222222221;2,566666666666667
2020-01-02 09:30:00;9468,650889756946;-165,6145545668085;51821,08307856455;16941,87999470499;5121,2444444444445;3,966666666666667
2020-01-02 09:45:00;12349,75219362048;88,02289101282784;41423,53604759641;17692,969579407916;6465,633333333333;5,111111111111111
2020-01-02 10:00:00;10891,153643714051;337,3305576890708;49617,33303394317;18713,78444913227;7762,8;5,966666666666667
2020-01-02 10:15:00;9217,375668080644;378,3772241164415;54973,23123041784;17155,75420767997;8875,511111111111;6,366666666666667
2020-01-02 10:30:00;9983,427663760713;152,755442881585;56446,12741124899;19798,395656674427;9792,022222222222;6,9
2020-01-02 10:45:00;10089,338688617285;-66,54388538466586;41785,63356084825;13642,763560525573;10732,966666666667;8,033333333333333
2020-01-02 11:00:00;17372,41301193237;442,0505568029138;40476,22306507954;15953,516878498933;11461,877777777778;8,366666666666667
2020-01-02 11:15:00;13824,66909980775;928,1326694034058;36581,22697723175;14669,900107701636;12360,711111111112;9,188888888888888
2020-01-02 11:30:00;11665,025880771213;284,7432236929741;39522,75064136718;16877,114344459093;13504,377777777778;8,977777777777778
2020-01-02 11:45:00;11150,437672551474;664,0546667599023;35827,44056407075;16908,209565106365;13573,055555555557;9,5
2020-01-02 12:00:00;8289,108779186672;-214,5832188667111;29050,817201052763;8733,712466526042;13168,655555555555;7,933333333333334
2020-01-02 12:15:00;12933,32821447584;-344,2925525264606;36027,32390874228;20895,233374055224;6818,244444444444;5,0777777777777775
2020-01-02 12:30:00;13704,71002027724;-127,5596634293581;30863,870418421437;14151,415985216034;7849,722222222223;5,466666666666667
2020-01-02 12:45:00;12357,54133037991;-258,3877759099006;32402,507028018103;14132,395769696774;11151,011111111113;7,899999999999999
2020-01-02 13:00:00;10943,66265886095;-143,63711152606635;29227,052605565383;17634,326184362846;11015,777777777776;6,933333333333334
2020-01-02 13:15:00;16658,74131393433;-795,0000021050381;38693,56424342262;15108,80463697248;9375,611111111111;6,0
2020-01-02 13:30:00;9884,97445098029;-887,1826660175074;31326,079578261917;17289,739672013195;6148,111111111111;4,144444444444444
2020-01-02 13:45:00;10766,992210218648;-951,409334160222;29098,07490201525;15159,140108376076;6308,311111111111;4,488888888888889
2020-01-02 14:00:00;7476,578665839301;-350,36322334541285;36086,03411682974;14704,19325405227;4734,966666666667;3,555555555555556
2020-01-02 14:15:00;9287,172656928164;-784,9948903050683;37576,33269001642;18168,180986044143;4020,166666666667;3,0666666666666664
2020-01-02 14:30:00;6839,803877046375;-1039,441886923585;31158,95311763552;17234,605458846356;4863,577777777778;3,4666666666666663
2020-01-02 14:45:00;7135,384993489584;-1032,103555866412;35568,19846213665;11917,854100428684;3190,722222222222;2,5444444444444443
2020-01-02 15:00:00;6530,917112816702;-585,7438871688341;35259,510520034375;17372,729224729555;2610,4777777777776;2,0666666666666664
2020-01-02 15:15:00;10888,40855556064;-476,6836671224044;40030,21742285624;22619,7895788034;1960,322222222222;1,4666666666666668
2020-01-02 15:30:00;11713,40955204434;-1033,072114312443;31940,997419569223;18495,08877944153;1711,2555555555557;1,3333333333333337
2020-01-02 15:45:00;12080,415906863753;-156,65588653153813;43315,81674569447;14980,23661957184;1025,7444444444443;1,0333333333333332
2020-01-02 16:00:00;9507,68877003987;5,979110262045083;34199,56300609379;18388,13745906618;271,7888888888889;0,7333333333333334
2020-01-02 16:15:00;10191,198774253004;56,64033413450693;45924,11923308903;24154,427879823583;142,15555555555554;0,6666666666666666
2020-01-02 16:30:00;9883,786560482447;-421,0778898676223;35051,73667590885;19291,213768166952;66,78888888888889;0,1555555555555555
2020-01-02 16:45:00;13258,572551812063;-242,26833119607488;42924,63650862377;16088,012232526153;0,0;0,0
2020-01-02 17:00:00;14584,711879475914;-599,6093363710582;32566,423591642244;15181,183454791711;0,0;0,0
2020-01-02 17:15:00;14072,870778656;-920,1676650144576;37049,58952496848;18051,623680306817;0,0;0,0
2020-01-02 17:30:00;13104,19055561489;-390,6643347119679;36046,89801768198;16818,019264515235;0,0;0,0
2020-01-02 17:45:00;11188,632996029311;-1256,5692226616857;35955,45926294328;18424,570559369196;0,0;0,0
2020-01-02 18:00:00;13703,268997743393;-1027,768780123111;45041,07643269438;23391,59123239517;0,0;0,0
2020-01-02 18:15:00;13697,822888522667;-1179,055775843228;31844,067638948203;13950,14564397336;0,0;0,0
2020-01-02 18:30:00;12738,177905358214;-825,0440004283369;46469,11973150047;15034,69590581258;0,0;0,0
2020-01-02 18:45:00;12710,509317779544;-893,298332693676;26249,085099464;17156,551005464124;0,0;0,0
