season;dayOfWeek;hour;meanP;stdP;meanQ;stdQ
winter;3;7;14893.189453125;1501.9132690429688;124.96976661682129;253.44270706176758
winter;3;8;15055.6474609375;1507.7020874023438;208.64889907836914;250.56246948242188
winter;3;9;14581.72607421875;1498.9282531738281;141.092924118042;248.29607772827148
winter;3;10;14104.455810546875;1485.8019714355469;39.970041275024414;247.7798080444336
winter;3;11;13710.93701171875;1505.2715148925781;-102.56584167480469;251.63386917114258
winter;3;12;13267.546630859375;1507.0914916992188;-203.98482131958008;250.1283073425293
winter;3;13;12775.513427734375;1499.3444519042969;-224.39752197265622;247.50565338134766
winter;3;14;12768.783935546875;1488.537109375;-187.25625610351562;249.9141731262207
winter;3;15;13713.497802734375;1506.3181457519531;-80.38740921020508;250.54766082763672
winter;3;16;13943.013427734375;1513.8808288574219;-2.5026426315307617;248.3960075378418
winter;3;17;14393.21435546875;1521.6831665039062;68.78157234191895;249.716064453125
winter;3;18;14137.954833984375;1502.5018310546875;78.28510665893555;250.7835922241211
winter;3;19;13960.7412109375;1513.3045959472656;24.49122506380081;250.5181427001953
winter;3;20;13621.390625;1492.02978515625;-32.6804723739624;251.84526824951172
winter;3;21;13387.630859375;1501.5584716796875;-122.9568862915039;251.91138839721677
winter;3;22;13045.562744140625;1501.2491149902344;-196.90600204467773;252.06064224243164
winter;3;23;13081.248779296875;1507.616455078125;-253.5139617919922;246.76324462890625
winter;4;0;12439.537109375;1499.4527893066406;-260.0708198547363;248.8402328491211
winter;4;1;12314.327880859375;1493.303955078125;-253.4495506286621;243.84576797485352
winter;4;2;12298.053955078125;1511.815673828125;-258.1489791870117;247.9958267211914
winter;4;3;12402.63671875;1529.4676208496094;-254.79822540283203;249.23617935180664
winter;4;4;12627.339599609375;1524.3826293945312;-220.6559181213379;247.96997833251953
winter;4;5;12890.81982421875;1476.6246032714844;-167.4452133178711;246.1801300048828
winter;4;6;13262.6875;1501.5933532714844;-83.68173027038574;246.50115966796875
winter;4;7;13753.87109375;1494.2500305175781;41.388285636901855;248.16801071166992
winter;4;8;14125.2763671875;1493.9867553710938;111.93481636047363;250.25869750976562
winter;4;9;13822.892578125;1500.8023376464844;106.58227157592773;250.61885833740234
winter;4;10;13424.935302734375;1505.7759094238281;4.016402959823608;248.9006462097168
winter;4;11;12933.228271484375;1487.9970092773438;-102.78681373596191;249.30842971801758
winter;4;12;12882.210693359375;1495.0476379394531;-136.81793022155762;250.27652740478516
winter;4;13;12955.093017578125;1506.2963562011719;-171.54603576660156;248.50339889526367
winter;4;14;13222.04931640625;1520.16357421875;-170.0641098022461;249.53594970703125
winter;4;15;13422.402587890625;1497.890380859375;-41.35976004600525;248.71350479125977
winter;4;16;13751.08349609375;1496.1643981933594;36.449720192700624;247.97900772094727
winter;4;17;13556.00732421875;1506.6907653808594;29.28349018096924;255.12020111083984
winter;4;18;13620.960205078125;1505.1031188964844;-22.419762134552002;244.6010398864746
winter;4;19;12775.140625;1490.5140991210938;-76.43118095397949;250.91926956176758
winter;4;20;12731.016357421875;1501.4436645507812;-143.79837036132812;247.62600708007812
winter;4;21;12632.196533203125;1493.8787231445312;-173.08282089233398;249.89093780517578
winter;4;22;12925.53125;1496.8649291992188;-215.82627868652344;249.65016555786133
winter;4;23;12762.482177734375;1505.7215881347656;-254.71031188964844;249.2687110900879
winter;5;0;13241.299072265625;1492.1530151367188;-131.53646850585938;247.7998809814453
winter;5;1;12951.796630859375;1500.3380737304688;-147.86499404907227;243.4581756591797
winter;5;2;12915.19873046875;1501.4359130859375;-125.97244262695312;245.39808654785156
winter;5;3;13012.27978515625;1485.9800415039062;-87.45502281188965;248.45175552368164
winter;5;4;13288.916015625;1457.1701049804688;-42.545223236083984;249.58636474609375
winter;5;5;13570.578125;1485.1235961914062;-2.207428932189941;243.86536407470703
winter;5;6;14467.913818359375;1500.4060668945312;78.74726676940918;251.20037841796875
winter;5;7;15226.126953125;1501.7667846679688;182.40587615966797;248.69006729125977
winter;5;8;15486.95556640625;1507.2474365234375;281.35340118408203;247.93245315551758
winter;5;9;15475.954833984375;1519.98095703125;324.40545654296875;249.0921287536621
winter;5;10;15174.445068359375;1499.5902099609375;308.7976379394531;252.80514526367188
winter;5;11;15238.77685546875;1505.6728515625;228.3173370361328;251.62861251831055
