season;dayOfWeek;hour;meanP;stdP;meanQ;stdQ
winter;2;15;10346.73388671875;2412.4816284179688;-773.7120513916016;397.97774505615234
winter;2;16;11902.5576171875;2417.1018676757812;-822.0929107666016;400.9606628417969
winter;2;17;13169.263427734375;2438.4443359375;-878.8009643554688;405.6267395019531
winter;2;18;13772.692138671875;2445.3081665039062;-956.3917999267578;404.8775177001953
winter;2;19;13585.337646484375;2418.4404296875;-1054.9255676269531;407.5452423095703
winter;2;20;12461.51904296875;2404.1767578125;-1147.1935424804688;406.63675689697266
winter;2;21;10544.846435546875;2442.4278564453125;-1239.7679138183594;403.2326889038086
winter;2;22;8627.163818359375;2440.6649169921875;-1267.3169555664062;400.4759750366211
winter;2;23;6921.5037841796875;2396.3619384765625;-1241.1181030273438;403.4596481323242
winter;3;0;5644.194091796875;2415.4786987304688;-1192.9825134277344;406.1892623901367
winter;3;1;4982.812744140625;2403.5823974609375;-1144.7605895996094;403.4048538208008
winter;3;2;4791.5430908203125;2429.4024047851562;-1133.0151062011719;402.46380615234375
winter;3;3;4949.571044921875;2384.1753540039062;-1118.4292297363281;404.12303161621094
winter;3;4;5323.0458984375;2392.2723999023438;-1071.9929504394531;402.4189910888672
winter;3;5;6031.0028076171875;2385.1644287109375;-1023.3327484130859;404.9245376586914
winter;3;6;6753.197998046875;2420.5867309570312;-975.1249389648438;406.4429244995117
winter;3;7;7434.109619140625;2367.88427734375;-914.2314453125;403.20043182373047
winter;3;8;8153.7197265625;2412.3374633789062;-788.5511016845703;403.34806060791016
winter;3;9;8739.512939453125;2418.3714599609375;-622.5957794189453;398.6513137817383
winter;3;10;9517.645751953125;2395.7383422851562;-503.6973342895508;407.0377731323242
winter;3;11;10223.5068359375;2416.9049682617188;-452.9301528930664;406.51853942871094
winter;3;12;10546.0625;2416.1921997070312;-489.83131408691406;409.6125946044922
winter;3;13;10323.955810546875;2407.35546875;-596.1160888671875;404.4230041503906
winter;3;14;9863.015380859375;2395.3697509765625;-705.7702026367188;403.01251220703125
winter;3;15;10145.634521484375;2362.7825317382812;-745.9197082519531;401.7826614379883
winter;3;16;11744.319580078125;2422.4581298828125;-792.8085632324219;404.9615707397461
winter;3;17;13137.364013671875;2425.2830200195312;-847.1492156982422;397.86732482910156
winter;3;18;13767.6640625;2420.81884765625;-942.7241363525391;400.6297302246094
